,id,latitude,longitude
0,1-1,50.107,19.82
1,1-2,50.10403,19.82
2,1-3,50.10106,19.82
3,1-4,50.09809,19.82
4,1-5,50.09512,19.82
5,1-6,50.09215,19.82
6,1-7,50.08918,19.82
7,1-8,50.08621,19.82
8,1-9,50.083239999999996,19.82
9,1-10,50.08027,19.82
10,1-11,50.0773,19.82
11,1-12,50.074329999999996,19.82
12,1-13,50.07136,19.82
13,1-14,50.06839,19.82
14,1-15,50.065419999999996,19.82
15,1-16,50.06245,19.82
16,1-17,50.05948,19.82
17,1-18,50.056509999999996,19.82
18,1-19,50.05354,19.82
19,1-20,50.05057,19.82
20,1-21,50.0476,19.82
21,1-22,50.04463,19.82
22,1-23,50.04166,19.82
23,1-24,50.03869,19.82
24,1-25,50.03572,19.82
25,1-26,50.03275,19.82
26,1-27,50.02978,19.82
27,1-28,50.02681,19.82
28,1-29,50.02384,19.82
29,1-30,50.02087,19.82
30,1-31,50.0179,19.82
31,1-32,50.01493,19.82
32,1-33,50.01196,19.82
33,1-34,50.00899,19.82
34,1-35,50.00602,19.82
35,2-1,50.107,19.82463
36,2-2,50.10403,19.82463
37,2-3,50.10106,19.82463
38,2-4,50.09809,19.82463
39,2-5,50.09512,19.82463
40,2-6,50.09215,19.82463
41,2-7,50.08918,19.82463
42,2-8,50.08621,19.82463
43,2-9,50.083239999999996,19.82463
44,2-10,50.08027,19.82463
45,2-11,50.0773,19.82463
46,2-12,50.074329999999996,19.82463
47,2-13,50.07136,19.82463
48,2-14,50.06839,19.82463
49,2-15,50.065419999999996,19.82463
50,2-16,50.06245,19.82463
51,2-17,50.05948,19.82463
52,2-18,50.056509999999996,19.82463
53,2-19,50.05354,19.82463
54,2-20,50.05057,19.82463
55,2-21,50.0476,19.82463
56,2-22,50.04463,19.82463
57,2-23,50.04166,19.82463
58,2-24,50.03869,19.82463
59,2-25,50.03572,19.82463
60,2-26,50.03275,19.82463
61,2-27,50.02978,19.82463
62,2-28,50.02681,19.82463
63,2-29,50.02384,19.82463
64,2-30,50.02087,19.82463
65,2-31,50.0179,19.82463
66,2-32,50.01493,19.82463
67,2-33,50.01196,19.82463
68,2-34,50.00899,19.82463
69,2-35,50.00602,19.82463
70,3-1,50.107,19.82926
71,3-2,50.10403,19.82926
72,3-3,50.10106,19.82926
73,3-4,50.09809,19.82926
74,3-5,50.09512,19.82926
75,3-6,50.09215,19.82926
76,3-7,50.08918,19.82926
77,3-8,50.08621,19.82926
78,3-9,50.083239999999996,19.82926
79,3-10,50.08027,19.82926
80,3-11,50.0773,19.82926
81,3-12,50.074329999999996,19.82926
82,3-13,50.07136,19.82926
83,3-14,50.06839,19.82926
84,3-15,50.065419999999996,19.82926
85,3-16,50.06245,19.82926
86,3-17,50.05948,19.82926
87,3-18,50.056509999999996,19.82926
88,3-19,50.05354,19.82926
89,3-20,50.05057,19.82926
90,3-21,50.0476,19.82926
91,3-22,50.04463,19.82926
92,3-23,50.04166,19.82926
93,3-24,50.03869,19.82926
94,3-25,50.03572,19.82926
95,3-26,50.03275,19.82926
96,3-27,50.02978,19.82926
97,3-28,50.02681,19.82926
98,3-29,50.02384,19.82926
99,3-30,50.02087,19.82926
100,3-31,50.0179,19.82926
101,3-32,50.01493,19.82926
102,3-33,50.01196,19.82926
103,3-34,50.00899,19.82926
104,3-35,50.00602,19.82926
105,4-1,50.107,19.83389
106,4-2,50.10403,19.83389
107,4-3,50.10106,19.83389
108,4-4,50.09809,19.83389
109,4-5,50.09512,19.83389
